f,t,cmd_vel,x,y,z,roll,pitch,yaw,wheel_mean,e,edot_f,tau_pd_raw,tau,qL,qR,wvFL,wvRL,wvFR,wvRR
0,0.0,0.5,19.967,-0.002,0.4468,0.09,-1.15,0.01,0.015,4e-05,0.0,-0.01,0.0,0.003,0.00331,0.01,-0.0,0.03,0.01
1,0.0167,0.507,19.967,-0.002,0.4468,0.1,-1.15,0.01,0.436,-0.0006,0.0,0.18,0.0,0.00268,0.003,1.02,0.29,0.25,0.19
2,0.0333,0.514,19.968,-0.001,0.4469,0.1,-1.15,0.01,0.435,-0.00208,0.0,0.62,0.0,0.00193,0.00226,0.74,0.38,0.35,0.28
3,0.05,0.522,19.969,-0.001,0.447,0.09,-1.15,0.01,0.377,-0.00435,-0.01054,2.04,0.0,0.0008,0.00112,0.37,0.36,0.4,0.38
4,0.0667,0.529,19.97,-0.0,0.447,0.09,-1.15,0.01,0.405,-0.00678,-0.02155,3.54,3.0,-0.00041,-0.0001,0.4,0.41,0.41,0.39
5,0.0833,0.536,19.97,0.0,0.4471,0.09,-1.15,0.01,0.409,-0.0091,-0.03212,4.98,4.98,-0.00158,-0.00125,0.4,0.41,0.43,0.39
6,0.1,0.543,19.971,0.0,0.4472,0.09,-1.15,0.01,0.397,-0.01025,-0.04062,5.92,5.92,-0.00215,-0.00183,0.41,0.38,0.43,0.36
7,0.1167,0.551,19.972,0.0,0.4474,0.08,-1.15,0.01,0.391,-0.01001,-0.04608,6.23,6.23,-0.00203,-0.0017,0.4,0.39,0.39,0.38
8,0.1333,0.558,19.973,0.0,0.4475,0.08,-1.15,0.01,0.405,-0.00989,-0.0501,6.47,6.47,-0.00196,-0.00165,0.4,0.43,0.41,0.38
9,0.15,0.565,19.974,0.0,0.4476,0.08,-1.15,0.01,0.414,-0.01002,-0.05226,6.66,6.66,-0.00203,-0.00172,0.43,0.39,0.42,0.41
10,0.1667,0.572,19.975,0.0,0.4477,0.08,-1.15,0.01,0.419,-0.01012,-0.05192,6.67,6.67,-0.00208,-0.00177,0.44,0.4,0.43,0.41
11,0.1833,0.579,19.976,0.0,0.4478,0.08,-1.15,0.01,0.436,-0.0102,-0.04921,6.5,6.5,-0.00211,-0.00181,0.43,0.4,0.5,0.42
12,0.2,0.587,19.977,0.0,0.448,0.07,-1.15,0.01,0.403,-0.01019,-0.04443,6.17,6.17,-0.00213,-0.00179,0.43,0.38,0.31,0.49
13,0.2167,0.594,19.978,0.0,0.4481,0.07,-1.15,0.01,0.404,-0.01043,-0.03929,5.88,5.88,-0.00225,-0.00191,0.45,0.44,0.2,0.52
14,0.2333,0.601,19.979,0.0,0.4482,0.07,-1.15,0.02,0.419,-0.01057,-0.03516,5.63,5.63,-0.00232,-0.00199,0.52,0.43,0.26,0.47
15,0.25,0.608,19.98,0.001,0.4483,0.07,-1.15,0.01,0.443,-0.01078,-0.03186,5.46,5.46,-0.00243,-0.00208,0.47,0.48,0.35,0.48
16,0.2667,0.616,19.981,0.001,0.4484,0.06,-1.15,0.01,0.468,-0.01093,-0.02897,5.31,5.31,-0.0025,-0.00217,0.48,0.46,0.44,0.5
17,0.2833,0.623,19.982,0.001,0.4485,0.06,-1.15,0.01,0.491,-0.0111,-0.02651,5.19,5.19,-0.00259,-0.00224,0.52,0.39,0.52,0.53
18,0.3,0.63,19.984,0.001,0.4486,0.06,-1.15,0.01,0.514,-0.01127,-0.02443,5.09,5.09,-0.00268,-0.00232,0.53,0.48,0.52,0.53
19,0.3167,0.637,19.985,0.001,0.4487,0.05,-1.15,0.02,0.541,-0.01142,-0.02276,5.02,5.02,-0.00274,-0.00241,0.58,0.53,0.52,0.53
20,0.3333,0.644,19.986,0.001,0.4487,0.05,-1.15,0.02,0.512,-0.01155,-0.02117,4.95,4.95,-0.00281,-0.00247,0.53,0.45,0.52,0.55
21,0.35,0.652,19.987,0.001,0.4488,0.05,-1.15,0.02,0.561,-0.01211,-0.02021,5.05,5.05,-0.00313,-0.0027,0.61,0.55,0.52,0.55
22,0.3667,0.659,19.989,0.001,0.4488,0.04,-1.15,0.02,0.574,-0.01228,-0.01932,5.04,5.04,-0.00322,-0.00279,0.6,0.7,0.42,0.58
23,0.3833,0.666,19.99,0.001,0.4489,0.04,-1.15,0.02,0.51,-0.01207,-0.01817,4.89,4.89,-0.00307,-0.00273,0.55,0.43,0.54,0.51
24,0.4,0.673,19.992,0.001,0.4489,0.04,-1.15,0.02,0.573,-0.01143,-0.01633,4.57,4.57,-0.00273,-0.00242,0.59,0.58,0.55,0.56
25,0.4167,0.681,19.993,0.001,0.449,0.04,-1.15,0.02,0.619,-0.01062,-0.0137,4.15,4.15,-0.00233,-0.00202,0.6,0.73,0.58,0.56
26,0.4333,0.688,19.994,0.001,0.449,0.04,-1.15,0.02,0.631,-0.00979,-0.01038,3.66,3.66,-0.0019,-0.00162,0.61,0.75,0.56,0.59
27,0.45,0.695,19.996,0.0,0.449,0.04,-1.15,0.02,0.644,-0.00899,-0.0065,3.15,3.15,-0.00149,-0.00123,0.64,0.74,0.59,0.6
28,0.4667,0.702,19.997,0.0,0.449,0.04,-1.15,0.02,0.649,-0.0083,-0.00181,2.62,2.62,-0.00114,-0.00089,0.62,0.75,0.6,0.63
29,0.4833,0.709,19.999,0.0,0.449,0.04,-1.15,0.02,0.645,-0.00747,0.00335,2.01,2.01,-0.00069,-0.00051,0.6,0.68,0.64,0.66
30,0.5,0.717,20.0,0.0,0.449,0.04,-1.15,0.02,0.659,-0.00669,0.00848,1.41,1.41,-0.00026,-0.00016,0.63,0.67,0.67,0.67
31,0.5167,0.724,20.002,-0.0,0.4489,0.03,-1.15,0.02,0.685,-0.006,0.01305,0.89,0.89,0.00011,0.00016,0.64,0.75,0.67,0.67
32,0.5333,0.731,20.004,-0.0,0.4489,0.03,-1.16,0.02,0.692,-0.00531,0.01695,0.41,0.41,0.0005,0.00047,0.65,0.72,0.7,0.71
33,0.55,0.738,20.006,-0.0,0.4488,0.03,-1.16,0.02,0.75,-0.00465,0.0202,-0.02,0.0,0.00084,0.00078,0.73,0.78,0.71,0.78
34,0.5667,0.746,20.007,-0.0,0.4486,0.03,-1.16,0.02,0.741,-0.00309,0.02384,-0.74,0.0,0.0016,0.00157,0.69,0.78,0.65,0.84
35,0.5833,0.753,20.009,-0.001,0.4486,0.02,-1.15,0.02,0.723,0.00092,0.03046,-2.41,-2.41,0.00364,0.00355,0.68,0.86,0.67,0.68
36,0.6,0.76,20.011,-0.002,0.4484,0.01,-1.14,0.02,0.742,0.00494,0.03957,-4.25,-4.25,0.00566,0.00554,0.75,0.78,0.72,0.72
37,0.6167,0.767,20.013,-0.002,0.4483,-0.01,-1.14,0.02,0.748,0.00789,0.04982,-5.85,-5.85,0.00715,0.00701,0.85,0.64,0.75,0.75
38,0.6333,0.774,20.015,-0.003,0.4482,-0.03,-1.14,0.02,0.716,0.00969,0.05997,-7.11,-7.11,0.00803,0.00793,0.86,0.61,0.72,0.68
39,0.65,0.782,20.017,-0.003,0.4481,-0.05,-1.13,0.02,0.745,0.01135,0.06991,-8.3,-8.3,0.00888,0.00874,0.76,0.73,0.77,0.73
40,0.6667,0.789,20.018,-0.003,0.4479,-0.07,-1.13,0.02,0.727,0.01357,0.08027,-9.69,-9.69,0.00999,0.00985,0.79,0.69,0.69,0.73
41,0.6833,0.796,20.02,-0.003,0.4477,-0.08,-1.13,0.02,0.622,0.01579,0.09006,-11.04,-11.04,0.01109,0.01097,0.66,0.54,0.58,0.7
42,0.7,0.803,20.022,-0.004,0.4479,-0.06,-1.15,0.04,0.59,0.01593,0.09469,-11.41,-11.41,0.01074,0.01146,0.64,0.69,0.45,0.57
43,0.7167,0.811,20.024,-0.004,0.448,-0.02,-1.14,0.05,0.627,0.01576,0.09446,-11.34,-11.34,0.01044,0.01159,0.67,0.71,0.49,0.63
44,0.7333,0.818,20.025,-0.004,0.4481,0.01,-1.14,0.07,0.656,0.01584,0.0913,-11.14,-11.14,0.01026,0.01185,0.72,0.73,0.53,0.64
45,0.75,0.825,20.027,-0.004,0.4482,0.05,-1.15,0.07,0.683,0.01611,0.08694,-10.92,-10.92,0.01034,0.01204,0.83,0.94,0.48,0.48
46,0.7667,0.832,20.028,-0.004,0.4484,0.06,-1.15,0.06,0.539,0.01515,0.08042,-10.18,-10.18,0.00981,0.01161,0.28,0.54,0.66,0.68
47,0.7833,0.839,20.03,-0.004,0.4486,0.06,-1.15,0.07,0.6,0.01367,0.07087,-9.06,-9.06,0.00913,0.01081,0.31,0.68,0.61,0.8
48,0.8,0.847,20.031,-0.003,0.4487,0.06,-1.15,0.07,0.664,0.01144,0.05789,-7.48,-7.48,0.00801,0.0097,0.68,0.68,0.65,0.65
49,0.8167,0.854,20.033,-0.003,0.4489,0.06,-1.15,0.07,0.688,0.00902,0.04384,-5.77,-5.77,0.00682,0.00847,0.69,0.7,0.7,0.67
50,0.8333,0.861,20.035,-0.003,0.449,0.06,-1.15,0.07,0.721,0.00663,0.02918,-4.03,-4.03,0.00562,0.00728,0.75,0.72,0.68,0.74
51,0.85,0.868,20.036,-0.002,0.4491,0.06,-1.15,0.07,0.669,0.00424,0.01376,-2.24,-1.03,0.00443,0.00609,0.65,0.66,0.66,0.7
52,0.8667,0.876,20.038,-0.002,0.4492,0.06,-1.15,0.07,0.726,0.00185,-0.00255,-0.38,0.0,0.00323,0.00489,0.78,0.76,0.64,0.72
53,0.8833,0.883,20.04,-0.001,0.4493,0.06,-1.15,0.07,0.782,-0.0006,-0.01845,1.47,0.0,0.00201,0.00366,0.81,0.78,0.75,0.79
54,0.9,0.89,20.042,-0.001,0.4494,0.06,-1.15,0.07,0.744,-0.00304,-0.03342,3.25,3.0,0.0008,0.00244,0.84,0.71,0.6,0.83
55,0.9167,0.897,20.044,-0.0,0.4494,0.06,-1.15,0.07,0.795,-0.00528,-0.0466,4.84,4.84,-0.00033,0.00132,0.85,0.81,0.73,0.79
56,0.9333,0.904,20.046,0.0,0.4494,0.06,-1.15,0.07,0.763,-0.00675,-0.05723,6.03,6.03,-0.00104,0.00056,1.01,0.49,0.76,0.8
57,0.95,0.912,20.048,0.0,0.4495,0.06,-1.15,0.07,0.768,-0.00663,-0.06399,6.47,6.47,-0.00097,0.00062,0.63,0.88,0.77,0.79
58,0.9667,0.919,20.05,0.0,0.4495,0.06,-1.15,0.07,0.619,-0.00649,-0.06736,6.66,6.66,-0.0009,0.00068,0.88,-0.02,0.8,0.82
59,0.9833,0.926,20.052,0.0,0.4495,0.06,-1.15,0.07,0.774,-0.00655,-0.06792,6.72,6.72,-0.00093,0.00065,0.85,0.61,0.81,0.83
60,1.0,0.933,20.054,0.0,0.4495,0.07,-1.15,0.08,0.793,-0.00668,-0.06603,6.63,6.63,-0.001,0.00059,0.8,0.73,0.79,0.85
61,1.0167,0.941,20.056,0.0,0.4494,0.07,-1.15,0.08,0.851,-0.00702,-0.06221,6.46,6.46,-0.00114,0.00039,0.98,0.85,0.7,0.87
62,1.0333,0.948,20.058,0.0,0.4493,0.07,-1.15,0.08,0.854,-0.00719,-0.05672,6.13,6.13,-0.00123,0.0003,0.91,0.9,0.71,0.89
63,1.05,0.955,20.06,0.0,0.4492,0.07,-1.15,0.08,0.835,-0.0066,-0.04976,5.46,5.46,-0.00099,0.00066,0.86,0.77,0.8,0.91
64,1.0667,0.962,20.063,0.0,0.449,0.07,-1.15,0.08,0.873,-0.00581,-0.04295,4.75,4.75,-0.00064,0.0011,0.9,0.86,0.82,0.92
65,1.0833,0.969,20.065,-0.0,0.4489,0.07,-1.15,0.09,0.912,-0.00478,-0.03603,3.96,3.96,-0.00016,0.00165,0.93,0.9,0.85,0.97
66,1.1,0.977,20.067,-0.0,0.4486,0.07,-1.15,0.09,0.996,-0.0038,-0.02888,3.16,0.96,0.00029,0.00218,1.1,0.96,0.92,1.0
67,1.1167,0.984,20.07,-0.001,0.4483,0.07,-1.15,0.09,1.008,-0.00277,-0.02139,2.33,0.0,0.00079,0.00271,1.02,1.01,0.95,1.05
68,1.1333,0.991,20.072,-0.001,0.448,0.07,-1.15,0.09,1.0,-0.00176,-0.0134,1.46,0.0,0.00127,0.00325,1.02,1.02,0.85,1.11
